#{"t_start": 1761863674.2271237, "env_id": "None"}
r,l,t,winner,reason
1.0,15,33.696601,2,capture
1.0,23,33.733385,2,capture
1.0,27,33.776751,2,capture
1.0,21,33.810223,2,capture
1.0,23,33.848003,2,capture
1.0,20,33.879949,2,capture
1.0,8,33.892672,2,capture
1.0,21,33.926254,2,capture
1.0,28,33.970947,2,capture
1.0,25,34.010893,2,capture
1.0,24,34.049026,2,capture
1.0,19,34.079432,2,capture
1.0,29,34.126037,2,capture
1.0,19,34.156346,2,capture
1.0,16,34.181713,2,capture
1.0,29,34.228061,2,capture
1.0,17,34.255005,2,capture
1.0,15,34.278938,2,capture
1.0,26,34.320499,2,capture
1.0,15,34.344454,2,capture
1.0,31,34.394436,2,capture
1.0,27,34.43799,2,capture
1.0,32,34.489346,2,capture
1.0,21,34.522799,2,capture
1.0,19,34.553157,2,capture
1.0,25,34.593199,2,capture
1.0,17,34.620251,2,capture
1.0,19,34.650393,2,capture
1.0,12,34.669435,2,capture
1.0,25,34.709575,2,capture
1.0,28,34.754316,2,capture
1.0,15,34.778167,2,capture
1.0,11,34.795645,2,capture
1.0,20,34.827402,2,capture
1.0,13,34.848096,2,capture
1.0,15,34.872004,2,capture
1.0,14,34.894233,2,capture
1.0,21,34.927544,2,capture
1.0,18,34.956159,2,capture
1.0,23,34.992919,2,capture
1.0,22,36.173596,2,capture
1.0,22,36.208847,2,capture
1.0,29,36.255469,2,capture
1.0,19,36.285816,2,capture
1.0,16,36.311391,2,capture
1.0,18,36.340153,2,capture
1.0,13,36.360918,2,capture
1.0,20,36.392766,2,capture
1.0,21,36.426574,2,capture
1.0,13,36.447481,2,capture
1.0,25,36.487604,2,capture
1.0,23,36.524462,2,capture
1.0,23,36.561218,2,capture
1.0,18,36.590021,2,capture
1.0,14,36.612403,2,capture
1.0,21,36.646046,2,capture
1.0,12,36.665194,2,capture
1.0,29,36.711601,2,capture
1.0,11,36.729419,2,capture
1.0,23,36.766463,2,capture
1.0,23,36.803508,2,capture
1.0,17,36.831078,2,capture
1.0,17,36.858949,2,capture
1.0,12,36.878292,2,capture
1.0,20,36.910214,2,capture
1.0,23,36.947,2,capture
1.0,20,36.979011,2,capture
1.0,18,37.008175,2,capture
1.0,14,37.030708,2,capture
1.0,22,37.06584,2,capture
1.0,34,37.120733,2,capture
1.0,21,37.154352,2,capture
1.0,20,37.186185,2,capture
1.0,29,37.232641,2,capture
1.0,19,37.262852,2,capture
1.0,20,37.294617,2,capture
1.0,14,37.316976,2,capture
1.0,23,37.353973,2,capture
1.0,25,37.393992,2,capture
1.0,20,37.425996,2,capture
1.0,13,37.448028,2,capture
1.0,26,37.489739,2,capture
1.0,27,37.533314,2,capture
1.0,31,37.583357,2,capture
1.0,17,37.610506,2,capture
1.0,28,37.655306,2,capture
1.0,16,37.680857,2,capture
1.0,27,37.723978,2,capture
1.0,25,37.764024,2,capture
1.0,18,37.792671,2,capture
1.0,26,37.834368,2,capture
1.0,41,37.900712,2,capture
1.0,20,37.932486,2,capture
1.0,22,37.968282,2,capture
1.0,18,37.997602,2,capture
1.0,11,38.015252,2,capture
1.0,15,38.039096,2,capture
1.0,13,38.059671,2,capture
1.0,23,38.09626,2,capture
1.0,17,38.123238,2,capture
1.0,18,38.152024,2,capture
1.0,30,38.200397,2,capture
1.0,15,38.224243,2,capture
1.0,20,38.256017,2,capture
1.0,34,38.310703,2,capture
1.0,25,38.350677,2,capture
1.0,21,38.384434,2,capture
1.0,14,38.406791,2,capture
1.0,19,38.437027,2,capture
1.0,19,38.46735,2,capture
1.0,23,38.503976,2,capture
1.0,21,38.537596,2,capture
1.0,16,38.563065,2,capture
1.0,14,38.585404,2,capture
1.0,10,38.601327,2,capture
1.0,19,38.631676,2,capture
1.0,18,38.660666,2,capture
1.0,18,38.689209,2,capture
1.0,18,38.717748,2,capture
1.0,19,38.747804,2,capture
1.0,14,38.770084,2,capture
1.0,16,38.795546,2,capture
1.0,19,38.825839,2,capture
1.0,13,38.846446,2,capture
1.0,20,38.878244,2,capture
1.0,24,38.916785,2,capture
1.0,16,38.94215,2,capture
1.0,12,38.96129,2,capture
1.0,20,38.993182,2,capture
1.0,20,39.024905,2,capture
1.0,14,39.047234,2,capture
1.0,23,39.083817,2,capture
1.0,29,39.130609,2,capture
1.0,25,39.17073,2,capture
1.0,26,39.212495,2,capture
1.0,20,39.244375,2,capture
1.0,24,39.282728,2,capture
1.0,22,39.317666,2,capture
1.0,17,39.344894,2,capture
1.0,28,39.389916,2,capture
1.0,26,39.431991,2,capture
1.0,27,40.617649,2,capture
1.0,21,40.651196,2,capture
1.0,21,40.684786,2,capture
1.0,12,40.70394,2,capture
1.0,22,40.738991,2,capture
1.0,18,40.767587,2,capture
1.0,13,40.788223,2,capture
1.0,16,40.813848,2,capture
